UserID,Gender,Age,Occupation,Zip-Code
1,Female,<18,10,48067
2,Male,56+,16,70072
3,Male,25-34,15,55117
4,Male,45-49,7,02460
5,Male,25-34,20,55455
6,Female,50-55,9,55117
7,Male,35-44,1,06810
8,Male,25-34,12,11413
9,Male,25-34,17,61614
10,Female,35-44,1,95370
11,Female,25-34,1,04093
12,Male,25-34,12,32793
13,Male,45-49,1,93304
14,Male,35-44,0,60126
15,Male,25-34,7,22903
16,Female,35-44,0,20670
17,Male,50-55,1,95350
18,Female,18-24,3,95825
19,Male,<18,10,48073
20,Male,25-34,14,55113
21,Male,18-24,16,99353
22,Male,18-24,15,53706
23,Male,35-44,0,90049
24,Female,25-34,7,10023
25,Male,18-24,4,01609
26,Male,25-34,7,23112
27,Male,25-34,11,19130
28,Female,25-34,1,14607
29,Male,35-44,7,33407
30,Female,35-44,7,19143
31,Male,56+,7,06840
32,Female,25-34,0,19355
33,Male,45-49,3,55421
34,Female,18-24,0,02135
35,Male,45-49,1,02482
36,Male,25-34,3,94123
37,Female,25-34,9,66212
38,Female,18-24,4,02215
39,Male,18-24,4,61820
40,Male,45-49,0,10543
41,Female,18-24,4,15116
42,Male,25-34,8,24502
43,Male,25-34,12,60614
44,Male,45-49,17,98052
45,Female,45-49,16,94110
46,Male,18-24,19,75602
47,Male,18-24,4,94305
48,Male,25-34,4,92107
49,Male,18-24,12,77084
50,Female,25-34,2,98133
51,Female,<18,10,10562
52,Male,18-24,4,72212
53,Male,25-34,0,96931
54,Male,50-55,1,56723
55,Female,35-44,12,55303
56,Male,35-44,20,60440
57,Male,18-24,19,30350
58,Male,25-34,2,30303
59,Female,50-55,1,55413
60,Male,50-55,1,72118
61,Male,25-34,17,95122
62,Female,35-44,3,98105
63,Male,18-24,4,54902
64,Male,18-24,1,53706
65,Male,35-44,12,55803
66,Male,25-34,18,57706
67,Female,50-55,5,60181
68,Male,18-24,4,53706
69,Female,25-34,1,02143
70,Male,18-24,4,53703
71,Male,25-34,14,95008
72,Female,45-49,0,55122
73,Male,18-24,4,53706
74,Male,35-44,14,94530
75,Female,<18,10,01748
76,Male,35-44,7,55413
77,Male,18-24,4,15321
78,Female,45-49,1,98029
79,Female,45-49,0,98103
80,Male,56+,1,49327
81,Female,25-34,0,60640
82,Male,25-34,17,48380
83,Female,25-34,2,94609
84,Male,18-24,4,53140
85,Male,18-24,4,94945
86,Female,<18,10,54467
87,Male,25-34,14,48360
88,Female,45-49,1,02476
89,Female,56+,9,85749
90,Male,56+,13,85749
91,Male,35-44,7,07650
92,Female,18-24,4,44243
93,Male,25-34,17,95825
94,Male,25-34,17,28601
95,Male,45-49,0,98201
96,Female,25-34,16,78028
97,Female,35-44,3,66210
98,Female,35-44,7,33547
99,Female,<18,10,19390
100,Male,35-44,17,95401
101,Female,18-24,3,33314
102,Male,35-44,19,20871
103,Male,45-49,7,92104
104,Male,25-34,12,00926
105,Male,45-49,12,90277
106,Female,35-44,11,79101
107,Male,45-49,18,63129
108,Male,25-34,12,30316
109,Male,45-49,15,92028
110,Male,25-34,2,90803
111,Male,35-44,15,55416
112,Male,25-34,16,97209
113,Male,18-24,12,37032
114,Female,25-34,2,83712
115,Male,25-34,17,28083
116,Male,25-34,17,55744
117,Male,25-34,17,33314
118,Male,35-44,17,22315
119,Female,<18,10,77515
120,Male,25-34,11,27106
121,Male,35-44,7,75229
122,Female,18-24,4,94305
123,Male,35-44,9,67208
124,Male,56+,7,91356
125,Male,45-49,14,01701
126,Male,18-24,9,98117
127,Female,45-49,3,01770
128,Male,56+,6,37922
129,Male,25-34,11,20164
130,Male,35-44,17,50021
131,Male,18-24,4,06520
132,Male,25-34,17,99709
133,Female,25-34,0,55071
134,Male,25-34,0,66212
135,Male,18-24,4,20006
136,Male,18-24,2,21202
